event_id,event_title,date,description,region,agreement_check,agreement_link,event_type,subject_type,subject_topic,subject_story,organizer_type,organizer_name,detentions,ovd,place,links
405,Митинг против ограничений интернет-торговли,2014-02-08,Общество защиты прав потребителей с примкнувшими организациями проводит согласованную акцию на Болотной площади. Задержан один человек.,['recPrDrobUuRrCB6x'],True,,собрание,групповой протест,узкоэкономические требования,Олимпийские игры в Сочи,институциональный протест,['recEFdq54uTuHAI9r'],1,['recVM4JVqI9w0noEx'],Болотная площадь,"http://ovdinfo.org/express-news/2014/02/08/aktivist-pytavshiysya-proyti-na-miting-obshchestva-zashchity-prav, http://ovdinfo.org/express-news/2014/02/08/na-bolotnoy-ploshchadi-zaderzhan-aktivist-kotorogo-ne-pustili-na-miting"
406,Флешмоб в поддержку телеканала Дождь «Дождь идет»,2014-02-08,"Флешмоб в поддержку телеканала Дождь, прошедший в форме появления людей на Манежной площади с раскрытыми зонтами, обернулся массовыми задержаниями. Задержано несколько десятков человек, среди них несколько пожилых.",['recPrDrobUuRrCB6x'],,,акция,политический протест,свобода слова,,активистский протест,,41,"['recuI001EdVNovK9e', 'reccMao3IjfHm9lKZ', 'recQtuofPNhEf8F6r', 'recVM4JVqI9w0noEx']",Манежная площадь,"http://ovdinfo.org/express-news/2014/02/09/lyudi-s-zontami-otpushcheny-iz-ovd-yakimanka-v-4-chasa-nochi, http://ovdinfo.org/express-news/2014/02/08/okolo-pyati-chasov-zaderzhannye-v-ovd-yakimanka-dozhidayutsya-oformleniya, http://ovdinfo.org/express-news/2014/02/08/iz-ovd-arbat-otpushcheny-vse-zaderzhannye, http://ovdinfo.org/express-news/2014/02/08/zaderzhannyh-na-manezhnoy-ploshchadi-nachali-otpuskat-iz-otdelov, http://ovdinfo.org/express-news/2014/02/08/avtobus-s-vosemyu-zaderzhannymi-do-sih-por-stoit-vozle-ovd-hamovniki, http://ovdinfo.org/express-news/2014/02/08/massovye-zaderzhaniya-v-hode-akcii-v-podderzhku-telekanala-dozhd-na"
408,Акция «Радуйся тишине»,2014-02-09,Enjoy the silence [Moscow edition] - акция в поддержку Майдана у фонтана на площади Европы должна была состояться в виде флешмоба с пустыми белыми плакатами.,['recPrDrobUuRrCB6x'],,,акция,политический протест,внешняя политика,,активистский протест,,2,['reciMU3yq2AA7s4zo'],площадь Европы,"http://ovdinfo.org/express-news/2014/02/10/aktivistov-zaderzhannyh-vchera-dnem-na-evropeyskoy-ploshchadi-otpustili-iz, http://ovdinfo.org/express-news/2014/02/09/aktivista-zaderzhannogo-dnem-na-kievskoy-ostavlyayut-na-noch-v-ovd, http://ovdinfo.org/express-news/2014/02/09/dva-cheloveka-zaderzhany-u-fontana-pohishchenie-evropy"
409,Шествие «Отобрать и поделить»,2014-02-15,В 14:00 активисты «Другой России» несмотря на запрет властей вышли на акцию за пересмотр итогов приватизации к метро «Международная». После начала движения сразу же были задержаны около 30 активистов.,['recs8CXZcUBPl95yA'],,,в движении,политический протест,узкоэкономические требования,,институциональный протест,['reciOKrlvhSbIhHMl'],30,"['recLZto9UFam81Yvh', 'recg8yqlbvVnCS721']",станция метро «Международная»,http://ovdinfo.org/express-news/2014/02/15/v-peterburge-policiya-zhestko-razognala-socialnyy-marsh-drugorossov; http://vk.com/miting_help?w=wall-32875578_25888%2Fall; http://www.fontanka.ru/2014/02/15/057/
411,Акция внучки маршала Баграмяна в знак протеста против лишения жилья,2014-02-19,Внучка маршала Баграмяна приковала себя наручниками на Красной площади в знак протеста против лишения жилья.,['recPrDrobUuRrCB6x'],,,акция,локальный протест,жилье,жилье,активистский протест,,1,['recejBsL4BHeWptpU'],Красная площадь,"http://ovdinfo.org/node/8176, http://ovdinfo.org/node/8180"
410,Возложение цветов у посольства Украины,2014-02-19,К посольству Украины пришли люди возложить цветы и зажечь свечи в память о погибших накануне в Киеве.,['recPrDrobUuRrCB6x'],,,собрание,политический протест,внешняя политика,,стихийный протест,,3,['rechzc7mbTt1H0JiC'],"у посольства Украины, Леонтьевский переулок, д.18","http://ovdinfo.org/express-news/2014/02/19/zaderzhannye-u-posolstva-ukrainy-aktivisty-vyshli-na-svobodu, http://ovdinfo.org/express-news/2014/02/19/tri-aktivista-zaderzhany-u-posolstva-ukrainy"
412,"Акция против демонтажа корпусов, расположенных на территории Аракчеевских казарм",2014-02-20,,['recs8CXZcUBPl95yA'],,,собрание,локальный протест,градостроительная,,активистский протест,,11,['rec0S8cb7D3vwDimj'],"ул. Шпалерная, д.51",http://vk.com/miting_help?w=wall-32875578_26010%2Fall; http://vk.com/miting_help?w=wall-32875578_26025%2Fall; http://vk.com/miting_help?w=wall-32875578_26031%2Fall
414,"Акция против демонтажа корпусов, расположенных на территории Аракчеевских казарм",2014-02-21,,['recs8CXZcUBPl95yA'],,,собрание,локальный протест,градостроительная,,активистский протест,,4,['rec0S8cb7D3vwDimj'],"ул. Шпалерная, д.51",http://vk.com/miting_help?w=wall-32875578_26067%2Fall; http://vk.com/miting_help?w=wall-32875578_26063%2Fall
416,Приговор по «Болотному делу»,2014-02-21,21 февраля 2014 года председателем Замоскворецкого суда должен был быть оглашен приговор восьми фигурантам «Болотного дела». Возле суда произошли массовые задержания пришедших поддержать обвиняемых по «Болотному делу».,['recPrDrobUuRrCB6x'],,,собрание,политический протест,политзаключенные,Болотное дело,стихийный протест,,213,"['recuI001EdVNovK9e', 'reccMao3IjfHm9lKZ', 'rec3uBYf2Nx5VCX7c', 'recpcI4j0DYtubZJG', 'rechzc7mbTt1H0JiC', 'recd48wQZ4ImLNMEH', 'reca5fWoNnTodN3BD', 'recgbofCTO1ktJUVt', 'recQtuofPNhEf8F6r', 'recowMmTy67V5q7rN']","у здания Замоскворецкого районного суда, Татарская ул., 1","http://ovdinfo.org/news/2014/02/21/zaderzhaniya-u-zamoskvoreckogo-suda, http://ovdinfo.org/express-news/2014/02/22/vse-zaderzhannye-u-zamoskvoreckogo-suda-vyshli-na-svobodu, http://ovdinfo.org/express-news/2014/02/21/sud-po-delu-sergeya-parhomenko-perenesli-na-25-fevralya, http://ovdinfo.org/express-news/2014/02/21/iz-ovd-arbat-nachali-otpuskat-zaderzhannyh, http://ovdinfo.org/express-news/2014/02/21/v-ovd-tekstilshchiki-zaderzhannyh-otpuskayut-bez-sostavleniya-protokolov, http://ovdinfo.org/express-news/2014/02/21/v-ovd-zamoskoreche-zaderzhannogo-obvinyayut-v-vybitom-okne-avtozaka, http://ovdinfo.org/express-news/2014/02/21/v-ovd-arbat-oformlyayut-protokoly-po-202-koap, http://ovdinfo.org/express-news/2014/02/21/mariya-baronova-zaderzhannaya-u-zamoskvoreckogo-suda-prigovorena-k-shtrafu-v, http://ovdinfo.org/express-news/2014/02/21/akademika-viktora-vasileva-otpustili-iz-ovd-taganskoe, http://ovdinfo.org/express-news/2014/02/21/iz-ovd-basmannyy-nachali-otpuskat-zaderzhannyh, http://ovdinfo.org/express-news/2014/02/21/zaderzhannyh-nachali-otpuskat-iz-ovd-taganskiy, http://ovdinfo.org/express-news/2014/02/21/sergeya-parhomenko-obvinyayut-v-napadenii-na-policeyskogo, http://ovdinfo.org/express-news/2014/02/21/zaderzhannyh-nachali-otpuskat-iz-ovd-hamovniki, http://ovdinfo.org/express-news/2014/02/21/denisa-yudina-v-ovd-zamoskvoreche-obvinyayut-v-nasilii-protiv-policeyskih, http://ovdinfo.org/express-news/2014/02/21/u-zamoskvoreckogo-suda-zaderzhany-213-chelovek, http://ovdinfo.org/express-news/2014/02/21/zaderzhannyh-nachinayut-otpuskat-i-zaderzhivat, http://ovdinfo.org/express-news/2014/02/21/obshchee-chislo-zaderzhannyh-na-dannyy-moment-126-chelovek, http://ovdinfo.org/express-news/2014/02/21/prodolzhayutsya-massovye-zaderzhaniya-nachali-zaderzhivat-zhurnalistov, http://ovdinfo.org/express-news/2014/02/21/u-zamoskvoreckogo-suda-zaderzhano-36-chelovek, http://ovdinfo.org/express-news/2014/02/21/eshche-devyat-zaderzhannyh-u-suda, http://ovdinfo.org/express-news/2014/02/21/u-zamoskvoreckogo-suda-zaderzhan-vladimir-akimenkov, http://ovdinfo.org/express-news/2014/02/21/eshche-odnogo-aktivista-zaderzhali-u-suda, http://ovdinfo.org/express-news/2014/02/21/eshche-4-zaderzhannyh-u-suda, http://ovdinfo.org/express-news/2014/02/21/u-zamoskvoreckogo-suda-zaderzhan-oleg-kozlovskiy"
415,Акция «Героям Болотной и Майдана — слава!»,2014-02-21,"Участники акции развернули баннер с надписью «Героям Болотной и Майдана — слава!» и вышли на дорогу, скандируя «Вчера Болотная — сегодня Майдан», «Россия будет свободной» и «Долой полицейское государство».",['recPrDrobUuRrCB6x'],,,акция,политический протест,внешняя политика,,активистский протест,,5,['recQtuofPNhEf8F6r'],Большой Каменный мост,"http://ovdinfo.org/express-news/2014/02/21/zaderzhannyh-na-bolshom-kamennom-mostu-otpustili-iz-ovd-hamovniki, http://ovdinfo.org/express-news/2014/02/21/zaderzhannyh-na-bolshom-kamennom-mostu-privezli-v-ovd-hamovniki, http://ovdinfo.org/express-news/2014/02/21/na-bolshom-kamennom-mostu-zaderzhali-aktivistov, http://www.youtube.com/watch?v=OvrSpz2DrGU"
